gene,rna_log2fc,rna_fdr,atac_log2fc,atac_fdr,sig_rna,sig_atac,sig_both
Gnai3,0.06071282641411041,0.9053682766022323,-0.186364824352971,0.998929231587758,False,False,False
Narf,-0.1475505285205412,0.821933640607648,-0.279943385380121,0.998929231587758,False,False,False
Cav2,0.9822844239655791,0.389631211487944,0.491734378138619,0.998929231587758,False,False,False
Scmh1,0.25629167129063446,0.5818239186698138,-0.569267655039826,0.998929231587758,False,False,False
Cox5a,0.09073369971278213,0.9120154640975061,-0.707623831406056,0.998929231587758,False,False,False
Fer,0.6720730788021045,0.8049097319984834,-1.13056838288036,0.0942636556088538,False,False,False
Xpo6,-0.048380874297136764,0.9528592718178809,-0.449765578388826,0.998929231587758,False,False,False
Tfe3,0.2397395338143124,0.5707350567501639,-0.234423255886782,0.998929231587758,False,False,False
Brat1,0.296191239829941,0.6321363806671029,0.0433366856020889,0.998929231587758,False,False,False
Gna12,-0.11917585364177412,0.8437974806054993,-0.281032937653647,0.998929231587758,False,False,False
Slc22a18,0.4701901212390855,0.26318023110539596,-0.0539351596146087,0.998929231587758,False,False,False
Itgb2l,0.2669884243431302,0.9285077412512579,-0.370246465069118,0.998929231587758,False,False,False
Pih1d2,-0.3623949243311708,0.8663221820532216,-0.230363770749898,0.998929231587758,False,False,False
Dlat,0.38147219443848385,0.3202188039212933,-0.488221135267948,0.998929231587758,False,False,False
Sdhd,-0.09029553153953439,0.8530968177269671,0.185574422555557,0.998929231587758,False,False,False
Ccnd2,0.3029991184603424,0.6573743741592025,-0.478562004251295,0.998929231587758,False,False,False
Gpr107,0.08489662978866755,0.878754347174812,-0.0041215217779884,0.999987679699119,False,False,False
Slfn4,-0.3866616676606498,0.913443125400896,0.507469288905085,1.0,False,False,False
Tspan32,-0.32379484380061063,0.7646911691464132,0.404382605493003,1.0,False,False,False
Gmpr,0.9361879467709809,0.33222498399093076,-0.328474691923669,0.998929231587758,False,False,False
Trim25,0.38612945157959316,0.17448885206854708,-0.431134672005551,0.998929231587758,False,False,False
Dgke,0.3519306500840886,0.5390740891848056,-0.267105620072308,0.998929231587758,False,False,False
Scpep1,0.22971351936755688,0.6396751195785998,-0.451821439437428,0.998929231587758,False,False,False
Mnt,0.14988282371877387,0.913443125400896,-0.163598711827595,0.998929231587758,False,False,False
Itgb2,0.04472228473175417,0.9472395197113878,0.529914664073557,0.998929231587758,False,False,False
Hddc2,0.19309141068486074,0.6747883753651007,-0.240125303311603,0.998929231587758,False,False,False
Pemt,1.4384974907795902,4.370751102922085e-06,-1.35819780040306,1.0,True,False,False
Clec10a,0.030362045735215493,0.9904860748634259,-0.562509746992123,1.0,False,False,False
Alox12,0.5973663919306165,0.7625735458955705,-0.472382510724038,1.0,False,False,False
Comt,0.1883866435991902,0.6630514391163085,0.323540348918012,0.998929231587758,False,False,False
Rtca,0.025692948398730642,0.9652667054237741,-0.220318565604142,0.998929231587758,False,False,False
Dbt,0.14190287252847783,0.8091369348493502,-0.441631037907301,0.998929231587758,False,False,False
Dazap2,0.22688405121029057,0.3607212974961528,-0.316325568303634,0.998929231587758,False,False,False
Mcts1,-0.07561310303161965,0.9290079935127031,-0.177739252387479,0.998929231587758,False,False,False
Rem1,-0.22881725196131542,0.7586973401630358,-0.670229329177198,0.998929231587758,False,False,False
Trappc10,-0.260482325833901,0.7283291791221609,-0.27039136322487,0.998929231587758,False,False,False
Ccm2,0.10511940278124811,0.8213169000124334,0.0246971197433297,0.999675833476755,False,False,False
Tmprss2,0.7685649422258488,0.7630041611651626,-0.941019200018252,1.0,False,False,False
Mx1,-0.12849143758022316,0.880541069795175,-0.832609544954878,0.3700193144242,False,False,False
Fap,-0.3556531472043945,0.9049140638450086,-0.523398929456497,1.0,False,False,False
Gcg,-0.18991147930008143,0.9259793226976144,0.143060717210513,1.0,False,False,False
Ndufa9,0.10908289100365771,0.7971874631087505,0.625266339008674,0.998929231587758,False,False,False
Galnt1,0.022687632968837863,0.9724285688861142,0.5721473521543,0.998929231587758,False,False,False
Mkrn2,0.017551491536049447,0.9883776420218601,-0.0195255154884491,0.999942156951861,False,False,False
Pparg,0.8165102039673211,0.16647394045626712,-0.630902542973169,0.998929231587758,False,False,False
Raf1,0.22450564831651224,0.6279683615792001,-0.213233790321738,0.998929231587758,False,False,False
Septin1,0.04573158988437224,0.9508953651017392,-0.213191474761665,0.998929231587758,False,False,False
Pdgfb,-0.6556272075597613,0.3935581729668369,-0.625448838439747,0.998929231587758,False,False,False
Acvrl1,0.8105994457237499,0.00019719543301481609,0.254053281633757,0.998929231587758,True,False,False
Tamalin,0.3531800615418112,0.6023668258373989,0.272299976500275,0.998929231587758,False,False,False
Acvr1b,0.26212474112433726,0.8422753769791186,-0.184600549811051,0.998929231587758,False,False,False
Tom1l2,-0.25568201048606354,0.7275735961352798,-0.116147542592621,0.998929231587758,False,False,False
Zfp385a,0.2184958154165148,0.5967827019535611,-0.84423922396063,0.998929231587758,False,False,False
Itga5,-0.1534169823417969,0.8664947605940131,-0.432688604549759,0.998929231587758,False,False,False
Wdr77,0.1415770389788525,0.7744510721244409,-0.0511396334599894,0.998929231587758,False,False,False
Adora3,-0.8324637323183597,0.012878703243740509,-0.605128415314147,0.998929231587758,True,False,False
Tmigd3,-0.8324637323183597,0.012878703243740509,-0.245751225779254,0.998929231587758,True,False,False
Hnrnpd,0.16031209410269423,0.8049097319984834,0.524749322954238,0.998929231587758,False,False,False
Dynlt1c,-0.011900825116756726,0.9902646681223143,-0.32656893449565,0.998929231587758,False,False,False
C1d,-0.052359472240935824,0.9393776862000376,0.0451717555616842,0.998929231587758,False,False,False
Gm2a,0.18853132212258,0.7276406143830325,-0.403816599033243,0.998929231587758,False,False,False
Krit1,-0.012977658012289374,0.9862801937034708,-0.424849656958206,0.998929231587758,False,False,False
Sema4f,0.15519425180263557,0.8181163716388903,-0.148957386859821,0.998929231587758,False,False,False
Hk2,-0.22544166292271323,0.7338654018009921,-0.427333891587925,0.998929231587758,False,False,False
Myo18a,-0.26241014770156484,0.6055819617050202,-0.323611169888729,0.998929231587758,False,False,False
Sez6,-0.7889318533566,0.7646968386440499,-0.356507153788853,0.998929231587758,False,False,False
Haao,-0.14449174793719896,0.7274846825227462,-0.327240905069472,0.998929231587758,False,False,False
Cd52,-0.17962661956981169,0.7981355000571979,-0.502159403311511,0.998929231587758,False,False,False
Abhd15,-1.1062175303984865,0.06939358594110531,-0.591561594291148,0.998929231587758,False,False,False
Loxl3,-0.28115473184467266,0.7815071433032517,-0.466813859512314,0.998929231587758,False,False,False
Kat2b,-0.11824635179171093,0.9086569103655028,0.295099874768621,0.998929231587758,False,False,False
Rab5b,0.09652892421044817,0.8698960298862246,1.09060746523183,1.0,False,False,False
Aire,-1.0838578163878179,0.1776408270535721,-0.616471838672766,0.998929231587758,False,False,False
Icosl,-0.7526477140229298,0.0025948093053841537,-0.542469023757281,0.998929231587758,True,False,False
Rpl13,0.002766459198828144,0.9958086476899524,-0.378266508744914,0.998929231587758,False,False,False
Tubgcp3,-0.15928822991250136,0.8024656414804342,-0.28920538251125,0.998929231587758,False,False,False
Oprm1,-0.49685185421692335,0.7968770900534802,1.04737919403581,1.0,False,False,False
Polr3d,0.27602194698875154,0.558249336461235,-0.122209019315052,0.998929231587758,False,False,False
Tcf7,-0.3014441438627935,0.6136701927135197,-0.813045425214479,0.998929231587758,False,False,False
Ddx3x,-0.1153234421511236,0.8295273807941836,0.285430327424085,1.0,False,False,False
Usp32,-0.029232655296484694,0.9847356869478091,-0.145121514288258,0.998929231587758,False,False,False
Txnrd3,0.6055231672903472,0.5910705794638189,-0.669559780738849,1.0,False,False,False
Fasl,0.6111091400193506,0.6861122292085164,-0.351704740353914,0.998929231587758,False,False,False
Zfp512b,-0.12114280471019184,0.8922702040180572,-0.405424578242847,0.998929231587758,False,False,False
Dnajc5,-0.11938513718571034,0.7926329694175944,-0.706955208637886,0.998929231587758,False,False,False
Tpd52l2,0.09597693410791361,0.8397448255169122,0.0704265544554898,0.998929231587758,False,False,False
Fmr1,-0.3262029821597011,0.34042809987217393,-0.135522201681196,0.998929231587758,False,False,False
Bcl11a,-0.16617488430130228,0.7358922217383764,-0.0908109572959166,0.998929231587758,False,False,False
Pxmp4,-0.45039477253049626,0.059558736896245336,-0.247784538138042,0.998929231587758,False,False,False
Dlg3,1.0350213528421413,0.3623149189317624,-1.03433330749649,0.998929231587758,False,False,False
Gnb1l,0.20265069892704485,0.8664725052536857,0.0433663800790391,0.998929231587758,False,False,False
Smarcb1,0.0012072288148639735,0.9974416367447643,-0.501775704908327,0.998929231587758,False,False,False
Hip1r,-0.11671942696939654,0.8929369929732385,-0.239327469280885,0.998929231587758,False,False,False
Nsun5,0.07686855682699012,0.9192276165654681,-0.354091380760892,0.998929231587758,False,False,False
