gene,rna_log2fc,rna_fdr,atac_log2fc,atac_fdr,sig_rna,sig_atac,sig_both
Gnai3,0.06270215110133369,0.7262750118577076,-0.314899112431696,0.999987547004426,False,False,False
Narf,-0.017077724878700577,0.9535979426484009,-0.38389260889208,0.999987547004426,False,False,False
Cav2,0.7961532826975636,0.01620340342695693,-0.315254625403225,0.999987547004426,True,False,False
Klf6,-0.3490077586048426,0.02894401964716242,0.2317062564727,0.999987547004426,True,False,False
Scmh1,-0.22454696564732785,0.3557601555611931,-0.408918991560739,0.999987547004426,False,False,False
Cox5a,0.18648039200756328,0.237378450430529,-0.0697146695200033,0.999987547004426,False,False,False
Fer,0.6096644796219636,0.33436149954508354,0.376557469513445,0.999987547004426,False,False,False
Xpo6,-0.06403105178367685,0.8030467147626096,-0.410989489808681,0.999987547004426,False,False,False
Tfe3,0.1823982837776852,0.2706346329292735,0.235328898142351,0.999987547004426,False,False,False
Brat1,0.36573434829369356,0.04835664240261898,-0.316149766978558,0.999987547004426,True,False,False
Gna12,0.4536695417104832,0.012840917953598615,-0.946680391664061,0.999987547004426,True,False,False
Slc22a18,0.3571785358915871,0.5429405700926341,-0.417167618297617,0.999987547004426,False,False,False
Pih1d2,-0.052068690127338335,0.9637903932187192,0.0488402034793589,0.999987547004426,False,False,False
Dlat,0.24869976990221712,0.11707969200829768,-0.738140492256791,0.999987547004426,False,False,False
Sdhd,0.13980687127168387,0.28185748784316134,0.263550174959641,0.999987547004426,False,False,False
Ccnd2,-1.0919949113119107,8.088339084119839e-14,-0.0300657871561274,0.999987547004426,True,False,False
Gpr107,-0.004147700471999848,0.9866642934350298,-0.449673492830043,0.999987547004426,False,False,False
Scnn1g,-2.9016750819638024,3.742629776683687e-05,1.45290844493435,0.999987547004426,True,False,False
Tspan32,0.18347771417614636,0.7131631511398507,0.315507641477419,0.999987547004426,False,False,False
Clec2g,-1.1646412460709439,0.18560577364105638,0.0415043755673263,0.999987547004426,False,False,False
Gmpr,2.544995472671287,8.598610362551798e-05,-1.91841084359735,0.999987547004426,True,False,False
Mid2,-0.08589941007633013,0.9149429278717481,-0.0567066852883729,0.999987547004426,False,False,False
Trim25,0.1667423254255968,0.4503871130343932,0.389854301848877,0.999987547004426,False,False,False
Scpep1,0.36772086550465455,0.003770241932922661,-0.709921415194946,0.999987547004426,True,False,False
Mnt,0.4044069365276297,0.0643921791656042,-0.117935272756011,0.999987547004426,False,False,False
Itgb2,-0.23325081683877158,0.0793510531292687,0.671728570468113,0.999987547004426,False,False,False
Hddc2,0.16532223556006787,0.4087420493823719,-0.0408046063639738,0.999987547004426,False,False,False
Pemt,0.4922167583548743,0.5986395631418645,0.702694260366148,0.999987547004426,False,False,False
Clec10a,1.9344009021448108,1.4507688063565772e-22,-0.800253468913209,0.999987547004426,True,False,False
Comt,0.4479894170765641,0.0017930330952968523,-0.0283002477006296,0.999987547004426,True,False,False
Rtca,0.11403346189283006,0.5592649216853899,-0.112312018861291,0.999987547004426,False,False,False
Dbt,0.20289524260912725,0.42150434033511885,0.132664735541335,0.999987547004426,False,False,False
Dazap2,0.1580858587200666,0.20443118558426335,-0.115651309524215,0.999987547004426,False,False,False
Mcts1,-0.044997662578785784,0.8469604413830165,0.255851038848605,0.999987547004426,False,False,False
Rem1,0.9065914187531349,5.0790921317157185e-11,-0.488311853698221,0.999987547004426,True,False,False
Trappc10,-0.3433019540373948,0.0793510531292687,-0.295848943037937,0.999987547004426,False,False,False
Ccm2,0.19272250347811257,0.15316766065831042,-0.412503350359955,0.999987547004426,False,False,False
